ProductName,CategoryID,SupplierID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
Producto Prueba 1,1,8,24 - 200 g pkgs,314.83,14,26,12,false
Producto Prueba 2,4,1,,449.71,127,13,18,false
Producto Prueba 3,8,5,24 - 200 g pkgs,412.66,210,27,13,false
Producto Prueba 4,1,2,24 - 200 g pkgs,294.78,205,28,14,false
Producto Prueba 5,3,3,12 - 500 g pkgs,419.11,152,14,2,false
Producto Prueba 6,3,,24 - 200 g pkgs,111.48,121,15,25,false
Producto Prueba 7,7,1,,197.41,189,40,4,false
Producto Prueba 8,2,8,caja x 20,321.78,102,49,30,false
Producto Prueba 9,1,6,10 unidades,64.21,139,7,29,false
Producto Prueba 10,8,7,,222.02,49,8,1,false
Producto Prueba 11,4,2,10 unidades,356.39,67,10,3,false
Producto Prueba 12,5,10,caja x 20,198.98,13,42,20,false
Producto Prueba 13,5,8,,342.24,67,11,20,false
Producto Prueba 14,5,6,10 unidades,275.5,155,17,29,false
Producto Prueba 15,7,3,10 unidades,374.7,121,19,18,false
Producto Prueba 16,1,5,12 - 500 g pkgs,56.89,117,23,0,false
Producto Prueba 17,1,2,caja x 20,259.69,130,33,9,false
Producto Prueba 18,4,10,12 - 500 g pkgs,46.25,136,0,29,false
Producto Prueba 19,6,3,10 unidades,5.46,17,27,30,false
Producto Prueba 20,8,4,paquete x 5,492.39,265,29,7,false
Producto Prueba 21,7,10,paquete x 5,342.56,80,27,3,false
Producto Prueba 22,3,8,10 unidades,7.66,46,28,6,false
Producto Prueba 23,7,1,,460.34,237,1,18,false
Producto Prueba 24,1,9,10 unidades,456.68,11,28,29,false
Producto Prueba 25,7,2,12 - 500 g pkgs,477.15,164,10,25,false
Producto Prueba 26,1,7,10 unidades,236.32,265,48,19,false
Producto Prueba 27,6,6,,136.83,62,21,22,true
Producto Prueba 28,7,8,24 - 200 g pkgs,165.42,199,46,12,false
Producto Prueba 29,7,8,10 unidades,405.92,92,35,20,false
Producto Prueba 30,4,8,,70.83,184,50,22,false
Producto Prueba 31,4,4,10 unidades,371.71,172,31,20,false
Producto Prueba 32,4,,10 unidades,100.71,0,32,22,false
Producto Prueba 33,2,7,24 - 200 g pkgs,73.19,191,32,2,false
Producto Prueba 34,1,7,12 - 500 g pkgs,334.92,174,35,11,false
Producto Prueba 35,7,5,10 unidades,299.15,158,1,27,false
Producto Prueba 36,8,5,10 unidades,314.88,11,19,8,false
Producto Prueba 37,6,6,12 - 500 g pkgs,116.15,97,49,24,false
Producto Prueba 38,4,7,paquete x 5,241.49,165,47,19,false
Producto Prueba 39,2,3,,77.75,159,11,15,false
Producto Prueba 40,6,4,,253.76,134,15,20,false
Producto Prueba 41,2,2,12 - 500 g pkgs,304.67,217,37,10,false
Producto Prueba 42,8,10,10 unidades,218.09,59,12,10,false
Producto Prueba 43,6,9,10 unidades,127.03,9,9,30,false
Producto Prueba 44,1,5,paquete x 5,420.75,152,9,1,false
Producto Prueba 45,3,5,paquete x 5,77.11,99,16,8,false
Producto Prueba 46,4,1,,327.7,198,30,19,false
Producto Prueba 47,2,5,,340.77,76,8,6,false
Producto Prueba 48,2,3,24 - 200 g pkgs,101.98,126,12,9,false
Producto Prueba 49,4,10,paquete x 5,77.19,234,47,21,false
Producto Prueba 50,1,6,caja x 20,422.01,45,8,23,false
Producto Prueba 51,5,2,caja x 20,399.41,164,25,27,false
Producto Prueba 52,4,,paquete x 5,63.87,170,25,1,false
Producto Prueba 53,4,1,caja x 20,66.39,194,1,8,false
Producto Prueba 54,6,1,caja x 20,367.24,62,50,15,false
Producto Prueba 55,6,2,12 - 500 g pkgs,117.84,149,28,29,false
Producto Prueba 56,6,2,,356.13,264,27,23,false
Producto Prueba 57,4,2,caja x 20,129.5,199,37,16,false
Producto Prueba 58,3,6,12 - 500 g pkgs,351.09,280,44,9,false
Producto Prueba 59,4,3,paquete x 5,95.57,265,44,19,false
Producto Prueba 60,2,5,,220.56,258,27,28,false
Producto Prueba 61,8,8,24 - 200 g pkgs,269.41,199,14,23,false
Producto Prueba 62,8,2,10 unidades,315.61,227,41,2,false
Producto Prueba 63,1,7,24 - 200 g pkgs,187.24,39,5,18,false
Producto Prueba 64,6,4,10 unidades,267.09,213,17,27,false
Producto Prueba 65,1,7,caja x 20,103.67,140,11,21,false
Producto Prueba 66,3,3,caja x 20,282.92,10,19,24,false
